time,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,measured_left_hip_yaw,measured_left_hip_roll,measured_left_hip_pitch,measured_left_knee,measured_left_ankle,measured_neck_pitch,measured_head_pitch,measured_head_yaw,measured_head_roll,measured_right_hip_yaw,measured_right_hip_roll,measured_right_hip_pitch,measured_right_knee,measured_right_ankle,trunk_z_m
1.24,0.120548,-0.228087,-0.410706,-0.073103,0.426159,0.342882,0.288652,0.025069,-0.022606,0.095988,0.198288,0.465038,0.144195,-0.514888,0.107863,-0.080128,-0.411825,0.047401,0.396963,0.343101,0.351819,0.024996,-0.018949,0.101234,0.094305,0.497283,-0.041431,-0.474239,0.115747
1.26,0.118982,-0.229109,-0.409878,-0.073027,0.427788,0.339078,0.288734,0.026042,-0.022304,0.096364,0.199744,0.467424,0.136014,-0.517011,0.10788,-0.080134,-0.411674,0.047336,0.397034,0.3433,0.351802,0.024998,-0.018948,0.101243,0.09414,0.497254,-0.041167,-0.474913,0.11578
1.28,0.119142,-0.230266,-0.409101,-0.074038,0.430949,0.338855,0.28986,0.026593,-0.024218,0.09622,0.199289,0.46758,0.137596,-0.517997,0.107889,-0.080155,-0.411643,0.047315,0.396954,0.343396,0.35178,0.025,-0.018948,0.101265,0.09397,0.497226,-0.04088,-0.475456,0.115783
1.3,0.118246,-0.226709,-0.407075,-0.069804,0.425406,0.337341,0.292486,0.028627,-0.022806,0.093694,0.198236,0.463172,0.133203,-0.52954,0.107903,-0.080014,-0.411514,0.047402,0.396916,0.343345,0.351775,0.025026,-0.018946,0.101277,0.094354,0.497291,-0.040339,-0.475154,0.115747
1.32,0.120189,-0.227678,-0.410555,-0.07218,0.427423,0.341239,0.290464,0.025675,-0.022702,0.095823,0.19833,0.464079,0.143056,-0.520932,0.107902,-0.080039,-0.411658,0.047414,0.39678,0.343225,0.351794,0.025039,-0.018952,0.101269,0.094403,0.497267,-0.04132,-0.474202,0.115741
1.34,0.119532,-0.229386,-0.409851,-0.073006,0.427603,0.340334,0.288824,0.026061,-0.022502,0.096208,0.199437,0.466523,0.138541,-0.516704,0.107916,-0.080047,-0.411593,0.047379,0.396854,0.343321,0.351785,0.025043,-0.018953,0.101273,0.094256,0.497224,-0.041321,-0.474784,0.115771
1.36,0.119246,-0.230301,-0.409314,-0.073881,0.430817,0.338887,0.289901,0.026654,-0.02388,0.096189,0.199564,0.467286,0.137696,-0.518501,0.107928,-0.080067,-0.411536,0.047356,0.396882,0.34341,0.351764,0.025046,-0.018954,0.101292,0.094083,0.497198,-0.041063,-0.475409,0.115782
1.38,0.118358,-0.226798,-0.406558,-0.070286,0.42597,0.337511,0.292176,0.028728,-0.022677,0.0937,0.198065,0.463181,0.133751,-0.528907,0.107943,-0.080016,-0.411586,0.047539,0.396827,0.343382,0.351762,0.025083,-0.018952,0.101302,0.094397,0.497284,-0.040674,-0.475193,0.115736
1.4,0.119954,-0.226953,-0.410492,-0.071791,0.426597,0.340954,0.290996,0.025413,-0.022586,0.095277,0.198975,0.462951,0.14297,-0.522481,0.107947,-0.080042,-0.411688,0.047494,0.396815,0.343305,0.351776,0.025107,-0.018954,0.101292,0.09443,0.497332,-0.041458,-0.474272,0.115747
1.42,0.119752,-0.229547,-0.40998,-0.073331,0.428723,0.340542,0.289038,0.026065,-0.022627,0.09631,0.199077,0.46642,0.13944,-0.516601,0.107956,-0.080067,-0.411642,0.047387,0.396836,0.343347,0.351769,0.025106,-0.018957,0.101295,0.09428,0.497297,-0.041436,-0.47488,0.115771
